breed,stem,score_pretrained,score_sft,prob_pretrained,prob_sft,sft_wins
afghan_hound,afghan_hound_00000,18.47843360900879,19.11526107788086,0.3459640443325043,0.6540359854698181,True
afghan_hound,afghan_hound_00001,20.68102264404297,21.073814392089844,0.4030454158782959,0.5969545841217041,True
afghan_hound,afghan_hound_00002,17.93376922607422,18.976974487304688,0.260532021522522,0.7394680380821228,True
afghan_hound,afghan_hound_00003,16.838926315307617,17.600969314575195,0.3182028830051422,0.6817970871925354,True
afghan_hound,afghan_hound_00004,18.7448673248291,20.650259017944336,0.12949945032596588,0.8705005049705505,True
afghan_hound,afghan_hound_00005,17.922653198242188,20.30417823791504,0.08459240198135376,0.915407657623291,True
afghan_hound,afghan_hound_00006,17.37093734741211,18.568294525146484,0.2319456934928894,0.7680543065071106,True
afghan_hound,afghan_hound_00007,19.447572708129883,20.295368194580078,0.2998955249786377,0.7001044750213623,True
afghan_hound,afghan_hound_00008,17.188919067382812,18.610748291015625,0.19437497854232788,0.8056249618530273,True
afghan_hound,afghan_hound_00009,18.547311782836914,19.253944396972656,0.3303433060646057,0.6696566343307495,True
afghan_hound,afghan_hound_00010,19.13053321838379,19.84296226501465,0.3290623426437378,0.6709376573562622,True
afghan_hound,afghan_hound_00011,18.68241310119629,19.56553840637207,0.2925305664539337,0.7074694633483887,True
afghan_hound,afghan_hound_00012,18.266849517822266,19.30567169189453,0.2613773047924042,0.7386226654052734,True
afghan_hound,afghan_hound_00013,18.414583206176758,20.423542022705078,0.11826551705598831,0.8817345499992371,True
afghan_hound,afghan_hound_00014,17.773296356201172,19.22439193725586,0.18983301520347595,0.8101669549942017,True
afghan_hound,afghan_hound_00015,18.066238403320312,19.503084182739258,0.1920342594385147,0.8079657554626465,True
afghan_hound,afghan_hound_00016,18.8510684967041,19.77495002746582,0.28416767716407776,0.7158323526382446,True
afghan_hound,afghan_hound_00017,18.398380279541016,19.63210678100586,0.22552986443042755,0.7744700908660889,True
afghan_hound,afghan_hound_00018,18.981260299682617,18.936635971069336,0.5111542344093323,0.4888457655906677,False
afghan_hound,afghan_hound_00019,19.375537872314453,20.651771545410156,0.21819201111793518,0.7818079590797424,True
afghan_hound,afghan_hound_00020,17.813936233520508,19.191635131835938,0.20137882232666016,0.7986211776733398,True
afghan_hound,afghan_hound_00021,18.09715461730957,18.746919631958008,0.3430424928665161,0.6569575071334839,True
afghan_hound,afghan_hound_00022,18.73247528076172,21.12912940979004,0.08342818915843964,0.9165717959403992,True
