breed,stem,score_pretrained,score_sft,prob_pretrained,prob_sft,sft_wins
afghan_hound,afghan_hound_00000,18.13151741027832,18.70686149597168,0.36000463366508484,0.6399953365325928,True
afghan_hound,afghan_hound_00001,19.678037643432617,20.845050811767578,0.2373953014612198,0.7626047730445862,True
afghan_hound,afghan_hound_00002,17.69237518310547,18.458526611328125,0.31731221079826355,0.6826877593994141,True
afghan_hound,afghan_hound_00003,16.785781860351562,17.47157859802246,0.3349687457084656,0.6650311946868896,True
afghan_hound,afghan_hound_00004,18.942697525024414,20.67849349975586,0.14984770119190216,0.8501522541046143,True
afghan_hound,afghan_hound_00005,18.228092193603516,19.983238220214844,0.14739932119846344,0.8526006937026978,True
afghan_hound,afghan_hound_00006,17.686969757080078,17.80933380126953,0.4694471061229706,0.5305529236793518,True
afghan_hound,afghan_hound_00007,19.17793083190918,20.136972427368164,0.27707013487815857,0.7229298949241638,True
afghan_hound,afghan_hound_00008,17.37735939025879,18.75689125061035,0.2010842114686966,0.7989158034324646,True
afghan_hound,afghan_hound_00009,17.882549285888672,19.21074676513672,0.20945768058300018,0.7905423045158386,True
afghan_hound,afghan_hound_00010,18.334247589111328,19.12921142578125,0.31110382080078125,0.6888961791992188,True
afghan_hound,afghan_hound_00011,18.744483947753906,19.566965103149414,0.3052372336387634,0.6947627663612366,True
afghan_hound,afghan_hound_00012,17.813596725463867,18.858749389648438,0.2601570188999176,0.7398430109024048,True
afghan_hound,afghan_hound_00013,19.42828941345215,21.03736686706543,0.16671673953533173,0.8332833051681519,True
afghan_hound,afghan_hound_00014,18.274662017822266,18.9456844329834,0.338267982006073,0.6617320775985718,True
afghan_hound,afghan_hound_00015,18.10553550720215,19.140819549560547,0.2620609700679779,0.7379390597343445,True
afghan_hound,afghan_hound_00016,18.19654655456543,19.52163314819336,0.2099732607603073,0.7900267243385315,True
afghan_hound,afghan_hound_00017,18.148815155029297,19.416046142578125,0.2197316288948059,0.7802683711051941,True
afghan_hound,afghan_hound_00018,18.376995086669922,20.149293899536133,0.14525668323040009,0.8547433018684387,True
afghan_hound,afghan_hound_00019,18.86620330810547,20.649322509765625,0.14391840994358063,0.8560815453529358,True
afghan_hound,afghan_hound_00020,17.14043426513672,19.034473419189453,0.13078461587429047,0.8692153692245483,True
afghan_hound,afghan_hound_00021,18.182701110839844,18.960512161254883,0.31479185819625854,0.6852081418037415,True
afghan_hound,afghan_hound_00022,18.33806800842285,21.525745391845703,0.03963208571076393,0.9603679180145264,True
afghan_hound,afghan_hound_00023,18.100643157958984,19.60947608947754,0.18111181259155273,0.8188881874084473,True
afghan_hound,afghan_hound_00024,18.853805541992188,20.166269302368164,0.2120748609304428,0.787925124168396,True
beagle,beagle_00000,18.52014923095703,19.286697387695312,0.3172262907028198,0.6827737092971802,True
beagle,beagle_00001,18.70073127746582,19.72127914428711,0.264920711517334,0.735079288482666,True
beagle,beagle_00002,18.68334197998047,19.17465591430664,0.37958410382270813,0.6204159259796143,True
beagle,beagle_00003,17.883024215698242,19.302087783813477,0.19480842351913452,0.8051915764808655,True
beagle,beagle_00004,19.89375877380371,20.705690383911133,0.30747905373573303,0.6925209164619446,True
beagle,beagle_00005,17.6326847076416,17.92051887512207,0.4285341799259186,0.5714658498764038,True
beagle,beagle_00006,18.250686645507812,19.627578735351562,0.20150861144065857,0.7984914183616638,True
beagle,beagle_00007,17.957029342651367,19.617765426635742,0.15966320037841797,0.8403367400169373,True
beagle,beagle_00008,18.035858154296875,18.8022518157959,0.3172597289085388,0.6827402114868164,True
beagle,beagle_00009,18.790287017822266,19.488231658935547,0.332268089056015,0.6677319407463074,True
beagle,beagle_00010,18.49100112915039,20.043241500854492,0.17476291954517365,0.8252370357513428,True
beagle,beagle_00011,18.296043395996094,19.32364845275879,0.26354870200157166,0.7364513278007507,True
beagle,beagle_00012,18.4261417388916,19.535797119140625,0.24793516099452972,0.7520648241043091,True
beagle,beagle_00013,17.642803192138672,20.518165588378906,0.053385015577077866,0.9466150403022766,True
beagle,beagle_00014,19.09712028503418,19.401575088500977,0.42446884512901306,0.5755311250686646,True
beagle,beagle_00015,18.625858306884766,19.426851272583008,0.30981314182281494,0.6901867985725403,True
beagle,beagle_00016,18.561798095703125,19.83660888671875,0.21843482553958893,0.7815651893615723,True
beagle,beagle_00017,18.96790885925293,21.02698516845703,0.11313848197460175,0.8868614435195923,True
beagle,beagle_00018,18.57292366027832,19.41974449157715,0.3001002073287964,0.6998997926712036,True
beagle,beagle_00019,18.18840789794922,19.57650375366211,0.19971191883087158,0.8002880215644836,True
beagle,beagle_00020,18.97134017944336,19.884811401367188,0.2862900495529175,0.7137098908424377,True
beagle,beagle_00021,18.88993263244629,19.346603393554688,0.3877759277820587,0.6122241020202637,True
beagle,beagle_00022,19.009923934936523,20.587177276611328,0.17118482291698456,0.8288151621818542,True
beagle,beagle_00023,18.84372901916504,20.08699607849121,0.22386780381202698,0.7761321663856506,True
beagle,beagle_00024,19.5112247467041,21.26694679260254,0.14732694625854492,0.8526730537414551,True
boxer,boxer_00000,19.735210418701172,19.70867347717285,0.5066338181495667,0.4933661222457886,False
boxer,boxer_00001,19.770896911621094,21.363431930541992,0.16902753710746765,0.83097243309021,True
boxer,boxer_00002,18.665454864501953,19.837181091308594,0.23654311895370483,0.7634568810462952,True
boxer,boxer_00003,18.09720802307129,18.988407135009766,0.29086244106292725,0.7091375589370728,True
boxer,boxer_00004,19.043312072753906,19.79435920715332,0.3205931782722473,0.6794068217277527,True
boxer,boxer_00005,18.02383041381836,18.16127586364746,0.4656926393508911,0.5343073606491089,True
boxer,boxer_00006,17.93345832824707,18.833316802978516,0.28907960653305054,0.7109204530715942,True
boxer,boxer_00007,18.61553955078125,19.447675704956055,0.303193598985672,0.6968064308166504,True
boxer,boxer_00008,18.5505428314209,18.866641998291016,0.4216266870498657,0.5783732533454895,True
boxer,boxer_00009,17.14485740661621,19.244230270385742,0.10915779322385788,0.8908422589302063,True
boxer,boxer_00010,18.69779396057129,19.948408126831055,0.22259382903575897,0.7774061560630798,True
boxer,boxer_00011,18.822999954223633,20.842857360839844,0.1171337440609932,0.8828662037849426,True
boxer,boxer_00012,18.48979377746582,19.334808349609375,0.3004797101020813,0.6995202898979187,True
